###;States;Params;Trial;Time;Distance;Iterations;ResFit;GoalFit;MissFitFlag;Alg
1991;3;2;19;0,23701334;0,007105598;4;0,064755263;0,3;0;1
3079;10;8;9;4,781273365;0,082833353;3;0,26535658;1;0;2
1535;10;5;1534;199,879;0,093;836;2,386;0,99;1;0
1793;10;18;1792;72,114;0,056;96;0,981;0,99;0;0
6905;9;13;15;173,679934;0,584651188;5;0,591472557;0,9;0;4
447;6;3;446;28,452;0,04;330;0,592;0,594;0;0
366;5;7;365;1,459;0,017;9;0,438;0,495;0;0
6355;6;5;6;0;0,110435373;1;0,323141422;0,6;0;4
1799;10;18;1798;92,077;0,044;123;0,989;0,99;0;0
2468;7;4;17;24,06537628;0,392258766;12;0,479471339;0,7;0;1
5803;9;9;13;20,95819902;0,146073336;6;0,807423978;0,9;0;3
1267;9;8;1266;32,179;0,045;103;0,886;0,891;0;0
5679;9;3;0;0;0,047052497;1;0,301884069;0,9;0;3
1618;10;9;1617;199,731;0,034;507;1,246;0,99;1;0
1426;9;16;1425;7,514;0,031;12;0,73;0,891;0;0
2430;7;2;19;1,206068993;0,063101911;6;0,527060255;0,7;0;1
3352;5;5;2;0;0,009822424;1;0,360270221;0,5;0;2
5262;7;8;11;2,226127148;0,091000896;2;0,684921229;0,7;0;3
4325;9;7;14;199,999;1,082198239;14;1,46787676;0,9;1;2
2143;4;6;11;27,20355606;0,316582403;4;0,201351292;0,4;0;1
6759;8;6;0;11,71667051;0,075728572;2;0,317283528;0,8;0;4
1732;10;15;1731;8,898;0,028;13;0,819;0,99;0;0
422;6;2;421;33,579;0,387;502;0,591;0,594;0;0
1779;10;17;1778;6,34;0,019;8;0,956;0,99;0;0
3521;6;6;10;1,635093212;0,049074914;3;0,187442341;0,6;0;2
1753;10;16;1752;5,357;0,022;7;0,835;0,99;0;0
5172;7;3;2;199,999;0,012516518;268;1,314253;0,7;1;3
2398;6;6;8;0;0,022105904;1;0,392893318;0,6;0;1
5479;8;7;0;199,999;1,054228483;9;0,936519546;0,8;1;3
2864;10;15;13;199,999;0,667801091;14;1,531430067;1;1;2
5130;7;11;19;21,83424902;0,095810209;5;0,06984939;0,7;0;3
3487;6;4;16;0;0,010155713;1;0,440244319;0,6;0;2
3339;5;4;9;0,346019745;0,007361405;2;0,14330828;0,5;0;2
1042;8;11;1041;11,615;0,028;31;0,786;0,792;0;0
6270;5;7;1;9,760558605;1,178498884;2;0,00811816;0,5;0;4
114;3;4;113;0,909;0,016;17;0,155;0,297;0;0
7090;9;9;1;20,14315224;0,692708014;2;0,86485397;0,9;0;4
1394;9;14;1393;152,705;0,112;297;0,887;0,891;0;0
5086;6;9;15;37,74015856;0,69964754;10;0,53377382;0,6;0;3
497;6;5;496;199,996;0,028;1596;2,908;0,594;1;0
1153;9;2;1152;0;0;0;0,111;0,891;0;0
6524;7;5;14;35,89305258;0,275524459;4;0,330244016;0,7;0;4
409;6;1;408;0,322;0,007;6;0,152;0,594;0;0
3794;7;8;4;93,62835503;0,157504371;13;0,607744877;0,7;0;2
3213;4;3;3;0,672038555;0,046101202;2;0,251489537;0,4;0;2
3099;10;9;9;6,201354504;0,08912402;5;0,909820397;1;0;2
4919;5;7;9;3,650208473;0,072146187;3;0,153083308;0,5;0;3
7025;9;6;15;10,31659031;0,724617141;2;0,149547337;0,9;0;4
5894;10;13;5;12,26370144;0,581096369;2;0,2913319;1;0;4
5705;9;4;15;12,15269518;0,792582255;4;0,733577398;0,9;0;3
1770;10;17;1769;199,879;0,06;283;2,329;0,99;1;0
887;8;3;886;28,798;0,042;232;0,779;0,792;0;0
2882;10;16;11;83,11775398;1,206081341;10;0,61557539;1;0;2
5013;6;5;3;2,819160938;0,703964084;2;0,453930998;0,6;0;3
54;3;1;53;0,286;0,01;11;0,056;0,297;0;0
2403;7;1;12;0,233013153;0,011535;4;0,661253161;0,7;0;1
3549;6;7;18;10,54960346;0,069478248;7;0,497167529;0,6;0;2
3044;10;7;13;43,54149055;0,319013027;6;0,907284724;1;0;2
176;4;3;175;0,692;0,015;11;0,163;0,396;0;0
6125;3;4;15;2,729156017;0,035891627;2;0,240947534;0,3;0;4
6474;7;11;5;5,70532608;0,072078999;2;0,249004329;0,7;0;4
367;5;7;366;2,114;0,018;14;0,468;0,495;0;0
648;7;3;647;0,932;0,012;8;0,488;0,693;0;0
4566;10;3;15;0;0,16664528;1;0,111327423;1;0;3
4310;9;6;19;4,542259693;0,053194397;4;0,732958787;0,9;0;2
962;8;7;961;8,011;0,064;32;0,77;0,792;0;0
1299;9;9;1298;9,599;0,063;27;0,877;0,891;0;0
1980;3;1;9;0;0,008109;1;0,000124759;0,3;0;1
6596;7;8;7;20,27015924;0,869782937;3;0,594660606;0,7;0;4
2950;10;2;19;0;0,084528779;1;0,127466476;1;0;2
5893;10;13;4;160,8241987;1,212220193;7;0,93062052;1;0;4
2218;5;3;8;3,034173489;0,989741387;8;0,470031901;0,5;0;1
6367;6;6;17;4,720270157;0,1139948;2;0,127664733;0,6;0;4
6472;7;11;3;40,75133085;0,378640736;4;0,119820393;0,7;0;4
2068;4;2;16;0;0,012143372;1;0,259266971;0,4;0;1
4305;9;6;14;5,510314941;0,64087144;3;0,608726326;0,9;0;2
1358;9;12;1357;47,671;0,037;106;0,886;0,891;0;0
1235;9;6;1234;3,389;0,018;13;0,859;0,891;0;0
6006;10;4;16;199,999;0,134631743;60;8,579708056;1;1;4
4391;10;10;1;199,999;0,271807183;17;1,259631583;1;1;3
5734;9;5;5;101,8248239;0,795795189;10;0,852664183;0,9;0;3
2226;5;4;15;29,23367214;0,085647317;24;0,221417569;0,5;0;1
395;5;8;394;4,795;0,019;29;0,475;0,495;0;0
3209;4;3;18;1,194068432;0,695531054;2;0,021698092;0,4;0;2
4255;9;3;5;1,039059639;0,012106628;2;0,063891376;0,9;0;2
3768;7;7;17;199,999;0,113504798;14;1,048521604;0,7;1;2
2574;8;3;4;3,438196659;0,076975887;5;0,705344852;0,8;0;1
1086;8;13;1085;199,633;0,109;470;0,843;0,792;1;0
757;7;8;756;199,792;0,034;863;0,844;0,693;1;0
2139;4;5;8;66,4368;0,013434774;23;0,288600522;0,4;0;1
967;8;7;966;199,868;0,081;786;1,169;0,792;1;0
2637;8;6;7;124,8141394;0,220640385;7;0,686134709;0,8;0;1
1471;10;2;1470;25,061;0,025;204;0,987;0,99;0;0
4300;9;6;0;25,21344233;0,084853499;7;0,562042163;0,9;0;2
2965;10;3;14;2,830161572;0,380018445;2;0,507976808;1;0;2
4332;9;7;2;21,89325237;0,061965944;7;0,554375034;0,9;0;2
4366;9;9;15;32,54186106;1,009201408;8;0,462226916;0,9;0;2
580;6;9;579;2,269;0,028;10;0,513;0,594;0;0
4262;9;4;11;199,999;0,154165322;428;1,655302562;0,9;1;2
1197;9;4;1196;156,627;0,052;896;0,89;0,891;0;0
5656;9;15;7;41,77038908;0,13008509;6;0,883465192;0,9;0;3
4589;10;4;18;2,211126328;0,059455403;2;0,323928804;1;0;3
2697;9;3;7;4,439253807;0,040462948;6;0,416189092;0,9;0;1
4279;9;4;9;4,135236263;0,096455706;4;0,796633795;0,9;0;2
884;8;3;883;21,991;0,057;177;0,789;0,792;0;0
2832;10;13;2;199,999;1,278479504;19;1,736056615;1;1;2
6591;7;8;2;34,74198723;1,062196737;3;0,165550347;0,7;0;4
3761;7;7;10;12,91673851;0,618807343;6;0,531042072;0,7;0;2
2884;10;16;13;120,2628784;0,95651034;10;0,61453036;1;0;2
6007;10;4;17;0;0,050275082;1;0,347489521;1;0;4
4292;9;5;2;13,8067894;0,689192232;11;0,143180958;0,9;0;2
708;7;6;707;37,13;0,077;193;0,69;0,693;0;0
4951;6;10;1;7,285416603;0,197119857;3;0,131216976;0,6;0;3
