###;States;Params;Trial;Time;Distance;Iterations;ResFit;GoalFit;MissFitFlag;Alg
6901;9;13;11;162,2042775;1,707585272;7;0,544301918;0,9;0;4
5937;10;15;8;107,3791418;0,864551864;4;0,730053718;1;0;4
6819;8;9;0;39,00123072;0,897446909;3;0,071034603;0,8;0;4
1832;10;2;1;0,354020119;0,01954147;2;0,888708485;1;0;1
1145;9;2;1144;0;0;0;0,036;0,891;0;0
109;3;4;108;5,093;0,017;101;0,293;0,297;0;0
1895;10;5;4;199,999;1,017513331;26;0,704902898;1;1;1
1470;10;2;1469;2,81;0,013;22;0,898;0,99;0;0
461;6;4;460;2,267;0,025;19;0,555;0,594;0;0
6660;8;12;10;0;0,975148704;1;0,104258428;0,8;0;4
666;7;4;665;2,417;0,023;18;0,585;0,693;0;0
5164;7;3;13;0;0,022905911;1;0,069604103;0,7;0;3
122;4;1;121;0,181;0,006;5;0,089;0,396;0;0
3828;8;10;17;44,02651834;1,148858436;10;0,795069486;0,8;0;2
5274;7;8;4;30,80276203;0,157504371;8;0,686333068;0,7;0;3
3780;7;8;0;151,1166434;0,515640628;20;0,208938545;0,7;0;2
3570;6;8;19;6,61537838;0,833058553;7;0,588200932;0,6;0;2
2788;10;11;17;6,782387733;0,639570001;4;0,739215545;1;0;2
4859;5;4;9;5,900337696;0,007361405;4;0,469629138;0,5;0;3
697;7;5;696;3,954;0,019;25;0,68;0,693;0;0
3366;5;6;15;11,621665;0,588961762;9;0,499255113;0,5;0;2
2734;9;5;4;199,999;0,112645211;29;0,856730133;0,9;1;1
2297;6;1;7;0,284016132;0,069186;6;0,157762199;0,6;0;1
1655;10;11;1654;29,302;0,028;61;0,98;0,99;0;0
2972;10;3;2;34,0049448;1,036468755;6;0,843496311;1;0;2
811;7;11;810;4,778;0,019;15;0,651;0,693;0;0
6527;7;5;17;6,028345108;0,060288617;2;0,141980688;0,7;0;4
1526;10;5;1525;65,811;0,168;275;0,983;0,99;0;0
2182;5;2;11;0,696039677;0,983386629;6;0,406572953;0,5;0;1
1109;8;14;1108;113,944;0,05;253;0,792;0,792;0;0
6234;5;5;5;0;0,077480721;1;0,440998218;0,5;0;4
4795;4;5;5;4,171238422;0,048923957;2;0,040759612;0,4;0;3
6092;10;8;3;17,31299019;1,288093023;2;0,351697462;1;0;4
1972;3;1;1;0;0,009146;1;0,128494612;0,3;0;1
1183;9;4;1182;199,985;0,092;1144;1,369;0,891;1;0
4513;10;16;3;86,14692736;1,117244277;6;0,654323582;1;0;3
2244;5;5;13;11,44465446;0,089905466;4;0,444214227;0,5;0;1
670;7;4;669;40,168;0,025;315;0,691;0,693;0;0
918;8;4;917;92,168;0,033;601;0,787;0,792;0;0
4906;5;7;15;1,767101288;0,586293006;2;0,245266963;0,5;0;3
6561;7;7;11;23,8213625;0,086404125;3;0,234237469;0,7;0;4
1974;3;1;3;0,054002762;0,002261;3;0,027880736;0,3;0;1
4659;10;7;9;104,2769642;0,943009405;7;0,889767268;1;0;3
1871;10;4;19;30,35473633;0,995553241;11;0,919550759;1;0;1
6143;4;4;13;0;0,016577308;1;0,163828012;0,4;0;4
4831;5;3;1;199,999;0,008917209;429;1,715466507;0,5;1;3
4941;6;10;10;61,52051878;0,089514972;31;0,011608535;0,6;0;3
3824;8;10;13;22,66029596;1,440250024;6;0,771397511;0,8;0;2
4054;8;8;4;14,52183056;0,744608208;7;0,4559557;0,8;0;2
4939;5;8;9;0;0,388990968;1;0,155009066;0,5;0;3
5047;6;7;16;14,26781607;0,020187597;18;0,325332726;0,6;0;3
61;3;2;60;199,976;0,016;6355;0,319;0,297;1;0
3591;6;9;1;7,527430534;0,065745214;4;0,331298927;0,6;0;2
2926;10;18;15;87,34499598;1,073351871;13;0,508216816;1;0;2
2126;4;5;14;24,04637527;1,051245495;9;0,208798574;0,4;0;1
4240;9;3;0;2,472141266;0,047052497;2;0,10350133;0,9;0;2
7010;9;5;1;15,21287012;0,080865814;2;0,758617919;0,9;0;4
5741;9;6;11;22,20927;1,154220628;7;0,869738045;0,9;0;3
1451;10;1;1450;0;0;0;0,987;0,99;0;0
3507;6;5;16;1,12206459;0,591630582;2;0,342933006;0,6;0;2
264;5;2;263;0,713;0,011;12;0,313;0,495;0;0
4355;9;8;5;20,56417608;1,15467445;7;0,850432781;0,9;0;2
79;3;2;78;0,338;0,009;10;0,178;0,297;0;0
545;6;8;544;199,998;0,033;1066;1,74;0,594;1;0
694;7;5;693;14,706;0,021;96;0,69;0,693;0;0
1354;9;12;1353;34,337;0,165;76;0,881;0,891;0;0
3483;6;4;12;199,999;0,014797991;15;2,602986379;0,6;1;2
2988;10;4;17;4,648265839;0,050275082;4;0,204330756;1;0;2
2154;4;6;3;118,3097672;0,118275888;14;0,454150555;0,4;1;1
1409;9;15;1408;199,714;0,037;364;1,53;0,891;1;0
6080;10;8;10;14,50382996;1,110301779;2;0,531107569;1;0;4
3431;6;10;1;13,92579651;0,197119857;7;0,524623025;0,6;0;2
4568;10;3;17;0;0,414143638;1;0,286152594;1;0;3
3296;5;2;6;0;0,015801678;1;0,15214841;0,5;0;2
3634;7;11;4;49,09280777;0,919882429;9;0,61436585;0,7;0;2
1623;10;10;1622;199,747;0,06;461;2,695;0,99;1;0
6610;7;9;1;21,95525599;0,459026609;2;0,101130949;0,7;0;4
5626;9;14;16;27,45057011;0,826469294;3;0,218308906;0,9;0;3
3323;5;4;12;1,774101257;0,066569572;3;0,091004395;0,5;0;2
3445;6;2;14;0;0,075574495;1;0,301116086;0,6;0;2
3941;8;3;10;0,82904768;0,009146414;2;0,698344361;0,8;0;2
6111;10;9;2;54,66912699;1,213060094;3;0,250823557;1;0;4
970;8;7;969;34,426;0,074;134;0,784;0,792;0;0
2653;9;1;3;0,491028309;0,06281;6;0,194933471;0,9;0;1
6871;9;11;2;199,999;0,636785091;9;2,71218219;0,9;1;4
3215;4;3;5;1,038059711;0,076125025;3;0,317616971;0,4;0;2
1356;9;12;1355;3,108;0,018;6;0,878;0,891;0;0
4829;5;3;18;0;0,434365612;1;0,127914518;0,5;0;3
5915;10;14;6;40,9803443;0,838101645;3;0,325655787;1;0;4
6501;7;4;11;7,329419136;0,014668531;2;0,153018238;0,7;0;4
2041;4;1;0;0,147008419;0,007377;5;0,047285438;0,4;0;1
5329;8;11;19;88,96508837;0,956217137;7;0,747571605;0,8;0;3
1919;10;6;8;199,999;0,568955646;10;0,369513261;1;1;1
6846;9;10;16;60,99448872;0,788666341;5;0,667877454;0,9;0;4
2493;7;5;3;26,62052298;0,724330995;5;0,313511928;0,7;0;1
434;6;2;433;0,536;0,011;7;0,271;0,594;0;0
2987;10;4;16;8,238471508;0,134631743;3;0,473971831;1;0;2
5947;10;16;17;142,401145;1,091334463;4;0,6462478;1;0;4
5034;6;6;4;102,7518773;1,209518037;9;0,511754744;0,6;0;3
67;3;2;66;5,548;0,026;180;0,279;0,297;0;0
2227;5;4;16;8,882508278;0,754408858;8;1,792241633;0,5;1;1
197;4;4;196;1,317;0,016;17;0,359;0,396;0;0
1854;10;3;3;16,7619586;0,736555184;17;0,935299284;1;0;1
5304;8;10;13;27,21755648;1,440250024;5;0,440001416;0,8;0;3
2123;4;5;11;6,024344444;0,014652268;3;0,332449166;0,4;0;1
4703;3;3;12;199,999;0,580200312;731;0,530820828;0,3;1;3
3837;8;10;7;199,999;0,587846881;17;1,276335628;0,8;1;2
736;7;7;735;199,88;0,032;973;3,906;0,693;1;0
4428;10;12;17;60,51546144;0,910627157;5;0,970860535;1;0;3
4878;5;5;8;14,19781208;0,726085649;3;0,453762223;0,5;0;3
